linkId,refnodeid,nrefnodeid,linklength,shapepoints
19812449,32038807,32038819,43.374,41.88536:-87.74545|41.88575:-87.74546
19808658,32038923,32039185,201.99,41.90064:-87.73854|41.90068:-87.7361
721102483,808689605,32038809,43.891,41.88182:-87.74585|41.88183:-87.74532
1192895850,1141054255,32008531,60.051,41.89986:-87.75817|41.9004:-87.75816
19836165,32040787,32040788,24.841,41.86909:-87.67817|41.86909:-87.67787
915756740,946635817,946635984,67.886,41.88175:-87.76737|41.88175:-87.76655
915800137,946666827,946666826,159.063,41.88419:-87.77265|41.88562:-87.7727
915805116,946670298,32008478,56.3,41.88891:-87.75973|41.88892:-87.76041
915795072,946662668,947386959,52.262,41.86576:-87.7209|41.86623:-87.7209
1121660341,1095599099,32038455,39.581,41.87374:-87.73567|41.87391:-87.73525
19806246,32008619,32008621,146.815,41.91295:-87.77157|41.91427:-87.77161
19808024,32008577,32008578,200.194,41.90389:-87.76932|41.90569:-87.76937
19808047,32008571,32008575,100.99,41.90385:-87.77176|41.90387:-87.77054
1221128493,1158657340,32008663,21.143,41.90916:-87.76708|41.90935:-87.76709
858119709,904249534,32054647,12.231,41.89163:-87.62415|41.89174:-87.62415
925833788,953663718,953663717,19.33,41.88433:-87.62342|41.88436:-87.62365
915778119,946650753,32008011,67.054,41.88529:-87.78053|41.88529:-87.77972
945600146,968028136,32008007,31.353,41.88181:-87.77996|41.88184:-87.77978|41.88191:-87.77961
1192897767,958069371,1141055398,19.865,41.89293:-87.76125|41.89293:-87.76101
1181512093,1132995072,1134038364,52.957,41.92865:-87.64888|41.92866:-87.64824
1130931134,32056342,1101371209,31.882,41.92679:-87.64121|41.92691:-87.64086
722673548,809784970,32039051,74.519,41.90173:-87.74595|41.9024:-87.74597
915797159,946664450,946664580,45.597,41.89186:-87.74504|41.89227:-87.74505
721680055,809082536,809082537,22.239,41.92719:-87.78726|41.92739:-87.78726
858717744,32054216,904757213,8.896,41.88695:-87.62798|41.88703:-87.62798
19757845,32052232,32052233,140.145,41.8832:-87.63976|41.88446:-87.6398
124637443,32052071,32052043,178.436,41.8925:-87.64762|41.89252:-87.6487|41.8926:-87.64977
19808516,32054376,32054377,67.047,41.90076:-87.62833|41.90077:-87.62752
947304563,969118274,32041234,77.025,41.88104:-87.69965|41.88106:-87.69872
916830977,947329800,32012340,50.517,41.92204:-87.77261|41.92206:-87.772
995827946,1005865561,1005865558,16.916,41.92453:-87.78934|41.92467:-87.78942
125169509,312084455,32052049,40.002,41.89173:-87.64844|41.89197:-87.6488
111838285,32052353,32052355,10.311,41.88574:-87.63675|41.88583:-87.63672
19808697,32052114,32052587,162.621,41.8999:-87.64792|41.90115:-87.64894
937800713,962810620,32052234,32.286,41.88321:-87.63889|41.88321:-87.63864|41.88321:-87.6385
125126324,32052420,32052423,22.172,41.89229:-87.64046|41.89246:-87.6406
810657978,32051856,871461957,96.488,41.88615:-87.64631|41.8864:-87.64638|41.88679:-87.64652|41.88699:-87.6466
19757563,32054117,32054119,76.164,41.88197:-87.6324|41.88197:-87.63148
721078271,32054153,808674738,40.562,41.88695:-87.63248|41.88695:-87.63199
740998246,32054233,32054237,62.096,41.88681:-87.62701|41.88682:-87.62626
19808342,32054770,32054771,34.48,41.90157:-87.62836|41.90188:-87.62837
19810385,32052057,32052058,57.827,41.89335:-87.64885|41.89387:-87.64886
1144725485,1110620060,32052152,52.288,41.8801:-87.6411|41.88057:-87.64112
1169113276,1126295730,1126295731,23.351,41.89435:-87.62813|41.89456:-87.62813
1170984244,32054142,1127444571,44.702,41.88695:-87.63394|41.88695:-87.6334
858718530,32054104,904757625,55.48,41.88066:-87.63529|41.88067:-87.63462
1034487921,806151765,1035051744,57.845,41.89651:-87.6399|41.89703:-87.63992
19811185,32054224,32054226,128.308,41.89006:-87.62958|41.89007:-87.62803
19810529,32052086,32052092,83.4,41.89264:-87.64597|41.89339:-87.64598
859351570,905173907,883404627,14.94,41.89645:-87.64381|41.89646:-87.64363
19811027,32054291,32054292,88.991,41.89079:-87.63404|41.89159:-87.63407
19758035,32054115,32054117,72.281,41.88132:-87.63239|41.88197:-87.6324
717370089,806151758,806151759,66.737,41.90168:-87.64798|41.90228:-87.648
931965113,958067157,32052745,38.953,41.90094:-87.63732|41.90129:-87.63734
1065377689,1056703324,32054479,14.942,41.88829:-87.62304|41.8883:-87.62322
1199022964,1144742457,32054280,15.249,41.88807:-87.62568|41.88818:-87.62557
